GS    1980  1301848 3.60   15.505 -93.376 80.0D      5.200                0X    0
GS    1980  131142640.90*  -3.125 129.138 33.0N      5.100                0X    0
GS    1980  131145716.70   52.270 160.536 33.0N      5.2005.2Z            0X    0
GS    1980  1311951 5.50*  52.277 160.631 37.0D      5.0004.0Z            0X    0
ISC   1980  2 1105035.18    3.099 125.638138.6       5.040                0X    0
GS    1980  2 1105035.60*   3.065 125.465144.0       5.100                0X    0
GS    1980  2 1173027.40   73.040 122.615 27.0D      5.4004.9Z            0X    0
GS    1980  2 118 415.70   26.493  61.072 33.0N      4.8005.0Z            0X    0
GS    1980  2 1185155.10   36.834  71.327 93.0       5.000                0X    0
ISC   1980  2 12254 3.73   -5.349 145.785 79.8       5.130                0X    0
GS    1980  2 2122916.30   27.799 101.256 33.0N      5.2005.3Z            0X    0
GS    1980  2 2232223.50  -34.028  58.316 10.0G      5.100                0X    0
GS    1980  2 3 356 0.00    1.700 126.331 45.0       5.000                0X    0
GS    1980  2 3115839.80  -17.649-171.184 33.0N      6.2006.4Z  6.80UKPA  0X    0
GS    1980  2 3162245.70   46.711 153.900 33.0N      5.000                0X    0
GS    1980  2 3202238.90    5.949 126.233 62.0       5.000                0X    0
GS    1980  2 3203923.00   41.457 141.992 70.0       5.000                0X    0
GS    1980  2 4 056 7.20    5.436 -82.652 10.0G      5.6005.5Z            0X    0
GS    1980  2 4 34556.00  -57.907  -7.188 10.0G      5.8006.2Z            0X    0
ISC   1980  2 4224148.06  -18.515-173.238 33.0A      5.010                0X    0
GS    1980  2 5103317.30* -30.115-178.152103.0       5.100                0X    0
GS    1980  2 5135249.40  -57.441 -66.635 10.0G      5.200                0X    0
GS    1980  2 5185625.00   -6.425 129.034202.0       5.300                0X    0
GS    1980  2 6 55054.90   -7.883 156.236 40.0       5.8005.6Z  6.50UKPA  0X    0
GS    1980  2 6104339.90   51.794-173.187 32.0       5.2004.6Z            0X    0
GS    1980  2 6122057.70   -3.969-104.074 10.0G      5.1004.9Z            0X    0
GS    1980  2 61256 4.00   26.759  53.841 33.0N      5.000                0X    0
GS    1980  2 7 825 1.00  -11.229 118.774 33.0N      5.100                0X    0
ISC   1980  2 7 825 1.80  -11.373 118.755 33.4D 3    5.160                0X    0
ISC   1980  2 71049 5.86  -53.933 158.961 10.0A      4.9306.6  3          0X    0
GS    1980  2 7104916.00  -54.158 158.890 10.0G      6.1006.5Z  6.40UKBR  0X    0
GS    1980  2 7105910.30  -54.264 158.770 10.0G      5.800                0X    0
ISC   1980  2 8 12446.85  -31.877-177.994170.6       5.520                0X    0
GS    1980  2 813 712.80   22.396 142.022270.0       5.300                0X    0
GS    1980  2 9 02714.80   43.962 147.901 58.0       5.100                0X    0
ISC   1980  2 9135110.25  -27.802  26.235 33.0A      5.210                0X    0
ISC   1980  2 9172314.07  -28.417-175.727 12.6       5.312                0X    0
