GS    1997 0116104058.20  -26.972-176.637 33.0N      4.8           
GS    1997 0116161308.50  -22.298-179.594600.0G      4.7           
GS    1997 0116172416.80  -02.230 125.975 33.0N      4.5           
GS    1997 0116173737.70  -07.508 156.216 33.0N      4.6           
GS    1997 0116214107.00   18.098-102.675 28.0D      5.6        4.9
GS    1997 0116230023.60  -23.989 179.717500.0G      4.5           
GS    1997 0116233434.10  -58.368-025.746 33.0N      4.7           
GS    1997 0117010216.50  -17.368-178.979550.0G      4.6           
GS    1997 0117050049.70  -22.090-179.615550.0G      4.8           
GS    1997 0117112022.00  -08.899 123.542111.0D      6.2           
GS    1997 0117135241.80  -17.277-178.891500.0G      4.6           
GS    1997 0117135544.10  -30.230-072.509 50.0G      4.5           
GS    1997 0117153706.60   28.745 130.023 33.0N      5.2           
GS    1997 0117155313.40   28.814 129.953 33.0N      5.9        6.3
GS    1997 0117211041.10   00.965-027.622 10.0G      4.8           
GS    1997 0117211415.80   00.908-027.653 10.0G      4.9        4.3
GS    1997 0117215729.10  -17.703-178.491550.0G      4.5           
GS    1997 0117223211.50  -24.308-067.097167.0*      4.5           
GS    1997 0117225751.00  -14.812 167.318150.0G      4.7           
GS    1997 0117225857.80   06.966-072.888150.0G      4.5           
GS    1997 0117232250.50  -38.576 078.874 10.0G      4.7           
GS    1997 0117232409.80  -47.416-013.451 10.0G      5.4        5.7
GS    1997 0118040642.00   05.848 126.252135.0       5.1           
GS    1997 0118050132.60  -71.235-096.178 30.0D      4.5           
GS    1997 0118063852.60  -30.811 076.279 10.0G      4.6           
GS    1997 0118080409.00   04.045 126.382 33.0N      5.0           
GS    1997 0118080949.70  -04.887 150.709307.0       4.8           
GS    1997 0118095442.70  -31.485-066.730135.0       4.5           
GS    1997 0118162751.50   38.861 070.518 33.0N      4.6           
GS    1997 0118171350.60   24.179 122.668 56.0       5.0        4.9
GS    1997 0118182035.10  -25.219-179.415500.0G      4.7           
GS    1997 0118182421.80   05.215 124.602395.0       4.5           
