 17.12.80 VANCOUV. I R     5.3  338.    5.8  334.     25 A4        75.  2
 16.02.81 ASCENSION        6.9  206.    6.5  207.    408           65.  1
 14.09.81 MONA PASS.       6.7  273.    6.1  275.     88 C         70.  3
 07.11.81 MASCAREN I R     6.4  125.    5.2  127.    429 C         83.  3
 18.11.81 ZAIRE REP        7.4  166.    7.3  165.    567           53.  2
 03.01.82 C MID-ATLANT     7.4  217.    7.0  220.    406 A4,B4     58.  2
 09.01.82 N BRUNSWICK      7.0  295.    7.6  299.    451 A4,B4     50.  2
 08.04.83 SOCOTRA REG      8.3  120.    7.3  119.    416           53.  2
 12.05.83 N ATL. RIDGE     7.3  256.    7.1  257.    403           56.  2
 07.07.83 ZAIRE REP.       6.9  152.    6.9  161.    567 C         59.  3
 01.12.83 CHAGOS ARCH.     6.4  123.    5.6  118.    426           77.  1
 03.12.83 CHAGOS ARCH.     6.6  123.    5.7  118.    426           76.  2
 10.02.84 GULF OF CALIF    4.3  308.    4.8  313.     49           88.  2
 22.04.84 C MID-ATLANT     7.4  215.    7.1  218.    406           57.  2
 26.04.84 CHAGOS ARCH      6.6  123.    5.6  118.    426           77.  1
 24.06.84 DOMIN REPUB      6.8  271.    6.1  275.     88           70.  2
 01.11.84 C MID-ATLANT     7.1  242.    6.9  243.    406           59.  2
 06.11.84 MASCARENE I R    6.0  130.    5.1  128.    427           84.  2
 22.11.84 S ATL-RIDGE      5.9  201.    5.2  201.    410           83.  3
 02.12.84 E C PAC.-OCEAN   4.4  302.    4.6  313.    693 B4        97.  2
 07.12.84 N O ASCENSION I  7.7  214.    7.1  212.    407           56.  2
 10.01.85 N ATL.-RIDGE     7.0  248.    6.9  249.    403           59.  2
 23.02.85 LAKE TANGANYIKA  7.1  152.    6.9  157.    572           59.  1
 13.03.85 O COAST OREGON   4.8  335.    5.4  331.     30           80.  2
 06.06.85 C MID-ATLANT     7.1  223.    6.9  228.    406 A3,A4     59.  2
