GRA1        +49.69188770  +11.22172020   1  -21.923    +37.862   !Graefenberg, F.R.G.
GIE          -0.730  -90.300  0  0.00  0.00                                       
GOL          39.700 -105.370  0  0.00  0.00      !Golden, Colorado, USA
GUA          13.540  144.910  0  0.00  0.00                                       
HKC          22.300  114.170  0  0.00  0.00                                       
HLW          29.860   31.340  0  0.00  0.00                                       
HNR          -9.430  159.950  0  0.00  0.00                                       
HOW          22.420   88.310  0  0.00  0.00                                       
IST          41.050   29.000  0  0.00  0.00                                       
JER          31.770   35.220  0  0.00  0.00                                       
KEV          69.755   27.007  0  0.00  0.00                                       
KIP          21.420 -158.020  0  0.00  0.00                                       
KOD          10.230   77.470  0  0.00  0.00                                       
LAH          31.550   74.330  0  0.00  0.00                                       
KBL          34.540   69.040  0  0.00  0.00                                       
LON          46.750 -121.810  0  0.00  0.00      !Longmire, Washington, USA
LPA         -34.910  -57.930  0  0.00  0.00      !Eva Peron
LPB         -16.530  -68.100  0  0.00  0.00                                       
LPS          14.290  -89.160  0  0.00  0.00                                       
SDB          14.930   13.570  0  0.00  0.00                                       
LUB          33.580 -101.870  0  0.00  0.00                                       
MAT          36.540  138.210  0  0.00  0.00                                       
MAL          36.730   -4.410  0  0.00  0.00                                       
MAN          14.660  121.080  0  0.00  0.00                                       
MDS          43.370  -89.760  0  0.00  0.00                                       
SNG           7.170  100.620  0  0.00  0.00                                       
MNN          44.910  -93.190  0  0.00  0.00                                       
KBS          78.920   11.920  0  0.00  0.00                                       
MSH          36.310   59.590  0  0.00  0.00                                       
MUN         -31.980  116.210  0  0.00  0.00                                       
NAT          -5.120  -35.030  0  0.00  0.00                                       
NAI          -1.270   36.800  0  0.00  0.00                                       
NDI          28.680   77.220  0  0.00  0.00                                       
NHA          12.210  109.210  0  0.00  0.00                                       
NNA         -11.990  -76.840  0  0.00  0.00      !Nana, Peru
DAG          76.770  -18.770  0  0.00  0.00                                       
NUR          60.510   24.650  0  0.00  0.00                                       
OGD          41.070  -74.620  0  0.00  0.00                                       
OXF          34.510  -89.410  0  0.00  0.00                                       
PDA          37.740  -25.660  0  0.00  0.00      !Azores
ADH          38.66   -27.22   0  0.00  0.00      !Angra de Heroismo, Azores
GSC          35.300 -116.810  0  0.00  0.00                                       
PMG          -9.410  147.150  0  0.00  0.00                                       
POO          18.530   73.850  0  0.00  0.00                                       
PRE         -25.750   28.190  0  0.00  0.00                                       
PTO          41.140   -8.600  0  0.00  0.00                                       
QUE          30.190   66.950  0  0.00  0.00                                       
QUI          -0.200  -78.500  0  0.00  0.00                                       
RAB          -4.190  152.170  0  0.00  0.00                                       
RAR         -21.210 -159.770  0  0.00  0.00                                       
RCD          44.080 -103.210  0  0.00  0.00                                       
RIV         -33.830  151.160  0  0.00  0.00                                       
PEL         -33.140  -70.690  0  0.00  0.00      !Peldehue, Chile
SBA         -77.850  166.760  0  0.00  0.00                                       
KTG          70.420  -21.980  0  0.00  0.00                                       
SCP          40.800  -77.870  0  0.00  0.00      !State College, Pennsylvania, USA
WFM          42.61   -71.49   0  0.00  0.00      !Westford, Massachusetts, USA
HDC2         10.02   -84.13   0  0.00  0.00      !Heredia, Costa Rica
SEO          37.570  126.970  0  0.00  0.00      !Seoul, Keijo, South Korea
SHA          30.690  -88.140  0  0.00  0.00                                       
SHL          25.570   91.880  0  0.00  0.00                                       
SJG          18.110  -66.150  0  0.00  0.00      !San Juan, Puerto Rico
BNA         -41.15   -71.30   0  0.00  0.00      !Pilcaniyeu, San Carlos de Bariloche, Argentina
SOM         -52.780  -69.240  0  0.00  0.00                                       
SPA         -90.010    0.010  0  0.00  0.00      !South Pole
STU          48.770    9.190  0  0.00  0.00                                       
TAB          38.070   46.330  0  0.00  0.00                                       
ANP          25.180  121.520  0  0.00  0.00                                       
TAU         -42.910  147.320  0  0.00  0.00                                       
SHK          34.530  132.680  0  0.00  0.00                                       
TOL          39.881   -4.049  0  0.00  0.00                                       
TRI          45.710   13.760  0  0.00  0.00                                       
TRN          10.650  -61.400  0  0.00  0.00                                       
TUC          32.310 -110.780  0  0.00  0.00                                       
UME          63.820   20.240  0  0.00  0.00                                       
VAL          51.940  -10.240  0  0.00  0.00                                       
WEL         -41.290  174.770  0  0.00  0.00                                       
WES          42.390  -71.320  0  0.00  0.00                                       
WIN         -22.570   17.100  0  0.00  0.00                                       
UNM          19.330  -99.180  0  0.00  0.00                                       
LOR          47.270    3.850  0  0.00  0.00                                       
KRK          69.720   30.060  0  0.00  0.00                                       
ARU          56.400   58.600  0  0.00  0.00                                       
AVE          33.300   -7.410  0  0.00  0.00                                       
AVF          46.790    3.350  0  0.00  0.00                                       
AVY         -18.920   47.730  0  0.00  0.00                                       
ATH          37.970   23.720  0  0.00  0.00                                       
BSF          47.830    6.990  0  0.00  0.00                                       
BKR          41.730   43.520  0  0.00  0.00                                       
BOD          57.850  114.180  0  0.00  0.00                                       
BRG          50.870   13.950  0  0.00  0.00                                       
BUB          47.750    8.600  0  0.00  0.00                                       
BUD          47.480   19.020  0  0.00  0.00                                       
CAF          44.930    2.060  0  0.00  0.00                                       
CDF          48.410    7.280  0  0.00  0.00                                       
CLK         -15.680   34.980  0  0.00  0.00                                       
CLL          51.310   13.000  0  0.00  0.00                                       
DEV          45.900   22.900  0  0.00  0.00                                       
DIX          46.080    7.410  0  0.00  0.00                                       
DOU          50.100    4.590  0  0.00  0.00       !Dourbes, Belgium
EBH          56.250   -3.510  0  0.00  0.00                                       
EGL          55.860   -2.740  0  0.00  0.00                                       
EPF          43.030    0.340  0  0.00  0.00                                       
FCC          58.760  -94.090  0  0.00  0.00                                       
FLN          48.760   -0.480  0  0.00  0.00                                       
GAP          47.480   11.060  0  0.00  0.00                                       
GRS          39.500   46.330  0  0.00  0.00                                       
HAU          48.000    6.350  0  0.00  0.00                                       
HEE          50.890    5.980  0  0.00  0.00                                       
ILT          67.900 -178.700  0  0.00  0.00                                       
JOS          48.500   20.540  0  0.00  0.00                                       
KAD          17.310   74.180  0  0.00  0.00                                       
KDZ          41.640   25.350  0  0.00  0.00                                       
KHE          80.620   58.050  0  0.00  0.00                                       
KRA          50.060   19.940  0  0.00  0.00                                       
KRJ          36.420  138.150  0  0.00  0.00                                       
KRR         -16.850   29.620  0  0.00  0.00                                       
KSA          33.820   35.890  0  0.00  0.00                                       
LBF          46.980    3.980  0  0.00  0.00                                       
LJU          46.040   14.530  0  0.00  0.00                                       
LMR          43.330    6.500  0  0.00  0.00                                       
LGR          42.460   -2.500  0  0.00  0.00                                       
LFF          44.940    0.740  0  0.00  0.00                                       
LPF          48.030    1.040  0  0.00  0.00                                       
LRG          43.450    6.360  0  0.00  0.00                                       
LPO          44.680    1.190  0  0.00  0.00                                       
LSF          46.250    1.530  0  0.00  0.00                                       
MBC          76.240 -119.360  0  0.00  0.00      !Mould Bay, Canada
MES          38.200   15.550  0  0.00  0.00                                       
MOA          47.850   14.270  0  0.00  0.00                                       
MOY          51.680  100.980  0  0.00  0.00                                       
MLS          42.960    1.080  0  0.00  0.00                                       
MTD         -16.780   31.580  0  0.00  0.00                                       
MZF          46.220    2.580  0  0.00  0.00                                       
