      1990  2 6 73429.13   10.126 -72.610 42.5       5.300
      1990  2 611 654.10   36.442  71.438 90.8       5.200
      1990  2 7 6 255.98    9.796 124.706 64.2       5.000
      1990  2 7 624 0.80  -17.588-179.062554.4       5.400
      1990  2 8 71532.39    9.691 124.708 30.7       6.200
      1990  2 8 72157.82    9.658 124.543 33.0       5.100
      1990  2 8 73950.82    9.658 124.841 33.0       5.300
      1990  2 8 747 0.10    9.726 124.643 33.9       6.000
      1990  2 8 82644.17    9.690 124.429 54.7       5.300
      1990  2 8154730.31   36.055 -12.100 10.0       5.000
      1990  2 9 12219.12    9.729 124.828 59.6       5.100
      1990  2 9 4 434.82   26.092  98.841 10.0       5.200
      1990  2 9 93147.87   36.747   2.426 12.4       5.000
      1990  2 917 920.22  -14.852 -75.603 18.8       5.500
      1990  2 9175726.62   31.765 121.017 10.0       5.100
      1990  210 24613.31  -18.733 -71.318 47.1       5.100
      1990  210 32741.79  -42.294 172.800 12.4       6.000
      1990  210 33431.88  -18.758 -71.452 33.2       5.000
      1990  210 35450.89  -42.188 172.745 33.0       5.100
      1990  210 64510.27    3.453 -82.856 10.0       5.000
      1990  210 65613.78    3.531 -82.833 10.0       5.100
      1990  210131222.72   -5.446 151.186 74.8       5.400
      1990  210171210.85   -3.184 -80.867 58.2       5.600
      1990  210204538.95   51.634 178.117 60.1       5.500
      1990  210205514.50    9.535 124.881 33.0       5.200
      1990  211 11219.98    0.861 126.056 63.0       5.200
      1990  211112353.75   -3.806 -81.648 32.6       5.000
      1990  211121027.88   -5.295 151.408 33.0       5.400
      1990  2111354 8.40   -6.393 146.971 64.5       5.100
      1990  211154817.14  -43.277 -76.266 31.4       5.300
      1990  2111746 6.30   36.326 140.978 47.5       5.400
      1990  211215842.46  -30.113-177.914 33.0       5.300
      1990  212 11318.49  -17.759-178.862646.3       5.000
      1990  212 33056.47   -5.226 151.760 82.6       5.100
      1990  212 55134.07  -49.180 122.307 10.0       5.000
      1990  212122535.99   -5.264 151.360 33.0       5.500
      1990  212134429.37   44.149-128.911 10.0       5.100
      1990  212233059.80    9.783 124.483 33.0       5.000
      1990  212235636.62  -31.152 -48.311 29.9       5.400
      1990  214101535.69  -49.293 164.929 33.0       5.300
      1990  21418 357.34    6.279 126.380 89.9       5.200
      1990  215 02713.15   -0.432 123.669232.0       5.000
      1990  21522 8 3.91   -5.213 151.388 33.0       5.600
      1990  216 555 4.56   35.915  54.421 33.0       5.100
      1990  216 622 9.43  -22.329-174.305 33.0       5.100
      1990  216 74930.62    8.795 -83.083 33.0       5.200
      1990  216132842.80   49.131-127.733 10.0       5.200
      1990  216151245.79   -3.193 -80.687 76.3       5.000
      1990  21621 253.99   -3.529 140.207 45.8       5.300
      1990  216212953.79   15.843 147.236 36.1       5.100
      1990  216225026.70    7.405 126.438 33.0       5.100
      1990  217 1 410.17   33.562 141.379 33.0       5.100
      1990  217 122 1.46   -5.361-105.912 10.0       5.400
      1990  217 12241.88  -19.463-175.572210.5       5.100
      1990  217 12418.99   14.962 -98.063 33.0       5.100
      1990  217 138 7.29   16.140 -97.914 43.6       5.100
      1990  217 228 0.20   29.500 130.796 50.4       6.100
      1990  217 25057.81   15.847 147.127 43.5       5.600
      1990  217123136.62   41.598 144.299 33.0       5.000
      1990  2171858 7.78   52.056-169.488 33.0       5.000
      1990  218122158.30   -5.514 149.463143.9       5.900
      1990  219 53437.41  -40.300 176.045 22.8       5.900
      1990  219 64813.21  -15.411 166.297 35.5       6.300
      1990  219 72812.46  -15.217 166.085 33.0       5.000
